aero_motif_idx,eeg_motif_idx,spectral_dist,dtw_dist,wasserstein_dist
0,0,0.2743984525639289,1.7929980324338886,0.1179359783172774
0,1,0.2819331584695798,1.218604048405191,0.10177031766264517
0,2,0.35664512234735685,1.6466232408151886,0.15204747869036236
0,3,0.35664512234735685,1.6252720891467325,0.16251726997064445
0,4,0.35664512234735685,1.6252720891467325,0.16252521301897924
0,5,0.35664512234735685,1.6252720891467325,0.16252005181470597
0,6,0.35664512234735685,1.6252720891467325,0.16251794593436336
0,7,0.35664512234735685,1.6252720891467325,0.16251697629046372
0,8,0.35664512234735685,1.6252720891467325,0.1625250709814076
0,9,0.35664512234735685,1.6252720891467325,0.16251803323759806
0,10,0.35664512234735685,1.6252720891467325,0.16252265141532884
0,11,0.35664512234735685,1.6252720891467325,0.16251989603872552
0,12,0.35664512234735685,1.6252720891467325,0.16252111964205018
0,13,0.35664512234735685,1.6252720891467325,0.1625246463093606
0,14,0.35664512234735685,1.6252720891467325,0.16251806970032584
0,15,0.35664512234735685,1.6252720891467325,0.1625212031634428
0,16,0.35664512234735685,1.6252720891467325,0.16252184351923316
0,17,0.35664512234735685,1.6252720891467325,0.16252343522765003
0,18,0.35664512234735685,1.6252720891467325,0.16251836325315872
1,0,0.40216567008953835,2.3638235158200884,0.25868102874849697
1,1,0.07471196387777704,0.5159606890321514,0.05618552806843326
1,2,0.0,0.11566341153393289,0.008585241557695845
1,3,0.0,0.09261936621072397,0.009264825531063848
1,4,0.0,0.09261936621072397,0.009268957702811553
1,5,0.0,0.09261936621072397,0.00926696521975834
1,6,0.0,0.09261936621072397,0.009264542897931306
1,7,0.0,0.09261936621072397,0.0092592130775642
1,8,0.0,0.09261936621072397,0.009262721579581659
1,9,0.0,0.09261936621072397,0.009261819164915763
1,10,0.0,0.09261936621072397,0.009263009063887374
1,11,0.0,0.09261936621072397,0.00925850228227244
1,12,0.0,0.09261936621072397,0.00926393072506566
1,13,0.0,0.09261936621072397,0.009262258006389435
1,14,0.0,0.09261936621072397,0.00926116702732065
1,15,0.0,0.09261936621072397,0.009265117828376569
1,16,0.0,0.09261936621072397,0.009263526939410361
1,17,0.0,0.09261936621072397,0.009266126974150248
1,18,0.0,0.09261936621072397,0.00926096778621769
2,0,0.40216567008953835,2.6794710600388987,0.26794009588475093
2,1,0.07471196387777704,0.6544006378818866,0.06543952239959361
2,2,0.0,0.10480743735499887,0.01047678639768297
2,3,0.0,0.0,9.101981538917059e-06
2,4,0.0,0.0,7.065798234251463e-06
2,5,0.0,0.0,4.512274930046357e-06
2,6,0.0,0.0,2.2498820304028837e-06
2,7,0.0,0.0,5.27865239128289e-06
2,8,0.0,0.0,4.28716088199943e-06
2,9,0.0,0.0,3.21217833572085e-06
2,10,0.0,0.0,3.7546500463836454e-06
2,11,0.0,0.0,8.663819466847578e-06
2,12,0.0,0.0,3.027387946996641e-06
2,13,0.0,0.0,4.264669410836142e-06
2,14,0.0,0.0,4.9671136095885684e-06
2,15,0.0,0.0,1.2632928603428795e-06
2,16,0.0,0.0,4.833134350801238e-06
2,17,0.0,0.0,7.1753748958180975e-06
2,18,0.0,0.0,5.1749721294291895e-06
3,0,0.40216567008953835,2.6794710600388987,0.26794425451552856
